USAF,WBAN,STATION NAME,LAT,LON
011010,99999,BOGUS NORWEGIAN,,
011020,99999,SKLINNA FYR,65.2,11
011025,99999,HEIDRUN,65.333,7.317
011030,99999,LEKA,65.1,11.7
011040,99999,ROTVAER,68.367,15.95
011050,99999,ROTVAER,68.367,15.95
011051,99999,SKOMVAER (LGT-H),67.417,11.883
011060,99999,ROEST III,67.517,12.1
011070,99999,ROST (NOR-AFB),67.517,12.1
011080,99999,VEGA-VALLSJO,65.7,11.85
011090,99999,SKALVAER,65.867,12.183
011100,99999,YTTERHOLMEN FYR,66,11.683
011110,99999,BRONNOYSUND,65.467,12.217
011120,99999,BRONNOY,65.461,12.218
011130,99999,GLOMFJORD,66.8,13.983
011133,99999,DAGALI,60.417,8.513
011140,99999,REIPA,66.9,13.633
011150,99999,MYKEN,66.767,12.483
011160,99999,STOKKA,65.95,12.467
011170,99999,TJOTTA,65.817,12.417
011210,99999,SOLVAER III,66.367,12.617
011220,99999,KJAERSTAD,65.784,13.215
011240,99999,SNASA,64.167,12.467
011310,99999,GLAPEN LIGHTHOUSE,67.883,13.05
011320,99999,MAJAVATN V,65.167,13.367
011330,99999,LAKSFORS,65.617,13.283
011340,99999,MAJAVATN III,65.183,13.417
011350,99999,SELJELIA,66.117,13.583
011370,99999,STOTT,66.933,13.45
011380,99999,TENNHOLMEN (LGT-H),67.3,13.5
011390,99999,VAEROY HELIPORT,67.65,12.717
011410,99999,LEKNES,68.15,13.617
011430,99999,DRAG-AJLUOKTA,68.05,16.083
011440,99999,HELLIGVAER II,67.4,13.883
011450,99999,KVALNES I LOFOTEN,68.35,13.967
011460,99999,SKAMDAL,66.233,13.883
011470,99999,VARNTRESK,65.833,14.183
011480,99999,STORFORSHEI,66.383,14.517
011490,99999,RANA-BASMOEN,66.333,14.1
011500,99999,HJARTASEN,66.5,14.95
011501,99999,HATTFJELLDAL-KRUTA,65.683,14.167
011505,99999,,,
011510,99999,MOIRANA,66.367,14.3
011520,99999,BODO,67.269,14.365
011530,99999,BODO-VAGONES,67.283,14.45
011540,99999,LITLOY FYR,68.583,14.3
011550,99999,BO I VESTERALEN II,68.633,14.467
011560,99999,BO I VESTERALEN,68.6,14.433
011580,99999,SETSA,67.167,15.483
011600,99999,SKROVA FYR,68.15,14.65
011610,99999,SVOLVAER/HELLE,68.25,14.667
011620,99999,STORKMARKNES/SKAGEN,68.583,15.017
011630,99999,BOLNA,66.5,15.25
011650,99999,GROTOY,67.833,14.783
011670,99999,SORTLAND,68.7,15.417
011680,99999,KLEIVA I SORTLAND,68.65,15.283
011690,99999,SALTDAL-NORDNES,66.933,15.317
011691,99999,OVRE SALTDAL,66.967,15.317
011700,99999,FAUSKE-VETEN,67.233,15.317
011720,99999,FINNOY I HAMAROY,68,15.617
011730,99999,,,
011751,99999,LODINGEN,68.4,16
011760,99999,KONGSVIK,68.567,16.267
011800,99999,HARSTAD,68.8,16.533
011820,99999,EVENSKJER,68.583,16.583
011830,99999,EVENES,68.491,16.678
011840,99999,SANDSOY I SENJA,68.933,16.683
011841,99999,SANDSOY,68.933,16.683
011890,99999,LILAND,68.483,16.883
011895,99999,,,
011910,99999,SKJOMEN-SLETTJORD,68.283,17.317
011920,99999,STRAUMSNES,68.417,17.65
011930,99999,NARVIK III/FRAMNES,68.467,17.5
011940,99999,NARVIK III,68.467,17.5
011960,99999,TENNEVOLL,68.75,17.817
011980,99999,DIVIDALEN II,68.783,19.7
011990,99999,SIHCCAJAVRI,68.75,23.533
012030,99999,KRAKENES,62.033,4.983
012050,99999,SVINOY LH,62.333,5.267
012070,99999,FISKABYGD,62.1,5.583
012090,99999,ORSTA-VOLDA/HOVDEN,62.183,6.067
012091,99999,ORSTA-VOLDA/HOVD,62.183,6.05
012100,99999,VIGRA,62.56,6.11
012120,99999,ONA II,62.867,6.533
012140,99999,REKDAL,62.65,6.767
012150,99999,HJELVIK MYRBO,62.62,7.23
012160,99999,HJELVIK I ROMSDAL,62.617,7.217
012161,99999,GJERMUNDNES,62.617,7.167
012170,99999,ARO,62.745,7.263
012180,99999,TAFJORD,62.233,7.417
012200,99999,MANNEN,62.45,7.767
012210,99999,TAGDALEN,63.05,9.083
012220,99999,,,
012230,99999,KVERNBERGET,63.112,7.825
012240,99999,AALESUND,62.467,6.217
012250,99999,VEIHOLMEN,63.517,7.95
012270,99999,INNERDALEN,62.717,8.783
012273,99999,TINGVOLL-HANEM,62.833,8.3
012280,99999,SULA,63.85,8.467
012300,99999,BJORLI,62.267,8.2
012310,99999,LESJASKOG,62.233,8.367
012320,99999,VINJEORA II,62.45,7.85
012330,99999,DOMBAAS,62.083,9.117
012340,99999,ORKDAL-THAMSHAMN,63.317,9.85
012350,99999,DOMBAS-KIRKENAER,62.083,9.133
012360,99999,KJOREMSGRENDE,62.1,9.05
012370,99999,HITRA,63.517,9.117
012380,99999,FOKSTUA II,62.117,9.283
012390,99999,HJERKINN II,62.217,9.55
012400,99999,HALTEN FYR,64.167,9.4
012410,99999,ORLAND,63.699,9.604
012420,99999,AFJORD II,63.967,10.217
012430,99999,SONGLI,63.333,9.65
012450,99999,OPPDAL-SETER,62.6,9.667
012480,99999,VALLERSUND,63.85,9.733
012500,99999,FOLLDAL-FREDHEIM,62.133,10
012520,99999,BERKAK-LYNGHOLT,62.817,10.017
012530,99999,SOKNEDAL,62.95,10.183
012540,99999,KOTSOY,62.983,10.55
012570,99999,TRONDHEIM/VOLL,63.417,10.45
012580,99999,TRONDHEIM (TYHOLT),63.417,10.433
012590,99999,BUHOLMRASA LH,64.4,10.45
012620,99999,NORDOYAN FYR,64.8,10.55
012650,99999,TYNSET-HANSMOEN,62.267,10.733
012680,99999,,,
012700,99999,KVITHAMAR,63.483,10.883
012710,99999,VAERNES,63.458,10.94
012720,99999,FROSTA,63.567,10.7
012730,99999,SELBU,63.233,11.017
012740,99999,SELBU-STUBBE,63.2,11.117
012770,99999,STEINKJER,64.017,11.45
012771,99999,LEVANGER-EGGEN,63.717,11.233
012780,99999,VERDAL-REPPE,63.783,11.683
012800,99999,NAMDALSEID-VENGSTAD,64.133,11.333
012810,99999,NAMSSKOGAN,64.733,12.85
012820,99999,RORVIK/RYUM,64.85,11.233
012823,99999,RORVIK/RYUM,64.85,11.233
012870,99999,SOLENDET,62.683,11.817
012880,99999,ROROS,62.567,11.383
012890,99999,ROROS LUFTHAVN,62.583,11.35
012891,99999,ROROS/AIRPORT,62.583,11.383
012900,99999,NAMSOS AIRPORT,64.467,11.583
012910,99999,GARTLAND,64.533,12.383
012920,99999,MERAKER-UTSYN,63.417,11.7
012930,99999,MERAKER-EGGE,63.417,11.733
012940,99999,,,
012950,99999,HOYLANDET,64.55,12.15
012960,99999,BERG I SNASA,64.25,12.417
012980,99999,NORDLI-HOLAND,64.45,13.717
013000,99999,GULLFAKS C,61.2,2.267
013005,99999,STATFJORD OIL PLATFORM HELIPO,61.25,1.85
013040,99999,YTTEROYANE FYR,61.567,4.683
013060,99999,HELLISOY FYR,60.75,4.717
013070,99999,FEDJE,60.75,4.717
013080,99999,FURUNESET,61.3,5.05
013090,99999,KINN ISLAND,61.567,4.8
013100,99999,FLORO,61.584,5.025
013110,99999,FLESLAND,60.293,5.218
013140,99999,FOSSMARK,60.517,5.717
013150,99999,EVANGER,60.633,6.1
013160,99999,BERGEN-FREDRIKSBERG,60.4,5.317
013170,99999,BERGEN/FLORIDA,60.383,5.333
013180,99999,SANDANE,61.783,6.183
013190,99999,TAKLE,61.033,5.383
013200,99999,SANDANE/ANDA,61.833,6.117
013210,99999,STRYN,61.9,6.55
013220,99999,FORDE-TEFRE,61.467,5.917
013230,99999,BRINGELAND,61.393,5.764
013250,99999,MODALEN II,60.833,5.95
013260,99999,MODALEN III,60.85,5.983
013270,99999,KVAMSKOGEN-JONSHOGDI,60.383,5.967
013280,99999,KVAMSKOGEN,60.4,5.917
013290,99999,KVAMSOY,60.35,6.267
013300,99999,OMASTRAND,60.217,5.983
013320,99999,FJAERLAND BREMUSEET,61.43,6.77
013360,99999,BULKEN,60.65,6.217
013370,99999,VOSSEVANGEN,60.633,6.433
013380,99999,VANGSNES,61.167,6.65
013390,99999,VANGSNES,61.167,6.65
013400,99999,FET I EIDFJORD,60.42,7.28
013410,99999,EIDFJORD-BU,60.467,6.867
013420,99999,ULLENSVANG,60.317,6.65
013440,99999,MJOLFJELL,60.7,6.95
013450,99999,KLEVAVATNET,60.717,7.217
013460,99999,MIDTSTOVA,60.65,7.267
013470,99999,SOGNDAL HAUKASEN,61.156,7.137
013471,99999,SOGNDAL/HAUKASEN,61.167,7.133
013500,99999,FINSEVATN,60.6,7.533
013510,99999,FINSE III,60.6,7.5
013520,99999,SANDHAUG,60.183,7.483
013550,99999,LAERDAL IV,61.1,7.5
013560,99999,FANNARAKI,61.517,7.9
013570,99999,HOLLEKOLTEN,60.867,8.517
013580,99999,HEMSEDAL II,60.85,8.6
013590,99999,GEILO-OLDEBRATEN,60.533,8.2
013591,99999,HAUGASTOL,60.517,7.867
013600,99999,BRATA-SLETTOM,61.9,7.9
013610,99999,GROTLI III,62.017,7.667
013620,99999,JUVVASSHOE,61.667,8.367
013630,99999,,,
013640,99999,FILEFJELL,61.183,8.117
013650,99999,BEITOSTOLEN II,61.251,8.917
013660,99999,SOGNEFJELL,61.567,8
013670,99999,FAGERNES,60.983,9.217
013671,99999,BEITOSTOLEN,61.233,8.933
013680,99999,LEIRIN,61.016,9.288
013690,99999,ABJORSBRATEN,60.917,9.283
013700,99999,SKABU,61.517,9.4
013710,99999,LOKEN I VOLBU,61.117,9.067
013720,99999,NESBYEN-SKOGLUND,60.567,9.133
013730,99999,NESBYEN-TODOKK,60.567,9.133
013740,99999,VEST-TORPA II,60.933,10.033
013741,99999,,,
013743,99999,FAGERNES/LEIRIN   &,61,9.3
013750,99999,KVITFJELL,61.467,10.133
013755,99999,GULLFAX (PLATFORM),61.033,2.033
013760,99999,GULSVIK II,60.383,9.6
013780,99999,LILLEHAMMER-SAETHERENGEN,61.1,10.467
013790,99999,SOR-NESSET,61.883,10.15
013800,99999,VENABU,61.65,10.117
013801,99999,KITTILBU,61.167,9.967
013810,99999,APELSVOLL,60.7,10.867
013820,99999,KISE,60.767,10.8
013830,99999,EVENSTAD-DIH,61.4,11.08
013839,99999,HAMAR / STAFSBERG,60.817,11.067
013840,99999,GARDERMOEN,60.194,11.1
013850,99999,HAMER,60.817,11.067
013860,99999,HAMAR II,60.8,11.1
013870,99999,FAVANG,61.45,10.183
013890,99999,RENA AP,61.183,11.367
013910,99999,FLISA,60.617,12.017
013920,99999,FLISA II,60.617,12.017
013930,99999,DREVSJO,61.883,12.033
013970,99999,TRYSIL VEGSTASJON,61.3,12.267
014000,99999,EKOFISK,56.55,3.217
014010,99999,FRIGG,59.983,2.25
014030,99999,UTSIRA FYR,59.3,4.867
014033,99999,EKOFISK OIL PLTFRM,56.55,3.25
014035,99999,KARMOY,59.35,5.217
014060,99999,SLATTEROY FYR,59.917,5.067
014080,99999,KARMOY,59.345,5.208
014090,99999,SKUDENES,59.15,5.25
014110,99999,KVITSOY - NORDBO,59.067,5.417
014120,99999,OBRESTAD,58.65,5.567
014130,99999,SAERHEIM,58.75,5.65
014140,99999,ROVER,59.433,5.067
014150,99999,SOLA,58.877,5.638
014160,99999,STAVANGER VAALAND,58.95,5.733
014170,99999,NEDRE VATS,59.483,5.75
014180,99999,AUSTEVOLL,60.017,5.2
014190,99999,LIARVATN,59.05,6.117
014211,99999,INDRE MATRE,59.85,6
014220,99999,FISTER SIGMUNDSTAD,59.167,6.033
014230,99999,FISTER-TONNEVIK,59.167,6.05
014240,99999,SAUDA,59.65,6.367
014250,99999,EIK HOVE,58.517,6.517
014260,99999,EIGEROYA,58.433,5.867
014270,99999,LISTA FYR,58.117,6.567
014280,99999,LISTA,58.099,6.626
014281,99999,ULA OIL PLATFORM,59.111,2.846
014300,99999,MANDAL II,58.017,7.45
014310,99999,SIRDAL-SINNES,58.933,6.917
014320,99999,SIRDAL-TJORHOM,58.883,6.85
014321,99999,FIDJELAND,58.967,6.933
014330,99999,MIDTLAEGER,59.833,6.983
014340,99999,VAAGSLI,59.767,7.367
014350,99999,HAUKELISETER TESTFELT,59.817,7.217
014360,99999,LINDESNES FYR,57.983,7.05
014390,99999,KONSMO-HOYLAND,58.25,7.442
014400,99999,BLASJO,59.333,6.867
014410,99999,HOVDEN-LUNDANE,59.583,7.383
014420,99999,BYGLANDSFJORD,58.667,7.8
014440,99999,VALLE,59.2,7.517
014450,99999,SKAFSA,59.45,8
014460,99999,OYFJELL-TROVATN,59.567,8.2
014470,99999,HOYDALSMO II,59.5,8.2
014480,99999,OKSOY FYR,58.067,8.05
014490,99999,GJERSTAD,58.867,9.033
014500,99999,MOSSTRAND II,59.833,8.183
014520,99999,KJEVIK,58.204,8.085
014530,99999,HYNNEKLEIV,58.6,8.417
014550,99999,TVEITSUND,59.033,8.517
014590,99999,NELAUG,58.65,8.633
014600,99999,GULLHOLMEN,59.433,10.583
014610,99999,,,
014611,99999,GAUSTATOPPEN,59.85,8.65
014620,99999,PORSGRUNN,59.083,9.667
014630,99999,AS,59.65,10.767
014640,99999,LANDVIK,58.333,8.517
014650,99999,TORUNGEN FYR,58.4,8.783
014660,99999,KJELLER AP,59.967,11.033
014670,99999,LYNGOR FYR,58.633,9.15
014680,99999,KONGSVINGER,60.183,12
014690,99999,HONEFOSS-HOYBY,60.167,10.25
014700,99999,GVARV,59.383,9.2
014703,99999,NOTODDEN,59.566,9.212
014710,99999,VEGGLI II,60.05,9.15
014730,99999,KONGSBERG BRANNSTASJON,59.617,9.633
014740,99999,LYNGDAL I NUMEDAL,59.9,9.533
014750,99999,SKIEN-GEITERYGGEN,59.183,9.567
014760,99999,JOMFRULAND FYR,58.85,9.55
014770,99999,KONNERUD,59.717,10.15
014780,99999,SVENNER LH,58.967,10.15
014800,99999,DRAMMEN BERSKOG,59.75,10.133
014810,99999,MELSOM,59.233,10.35
014820,99999,FERDER LH,59.033,10.517
014825,99999,TORP,59.187,10.259
014830,99999,TORP,59.183,10.267
014840,99999,AURSKOG,59.917,11.583
014843,99999,OSEBERG,59.317,10.45
014850,99999,DANDE-GALLEBERG,59.617,10.217
014860,99999,ASKER,59.85,10.433
014870,99999,ALNA,59.933,10.833
014880,99999,HAKADAL,60.117,10.833
014881,99999,STATFJORD B OIL PLATFORM,61.206,1.829
014890,99999,BJORNHOLT,60.05,10.683
014900,99999,TRYVANNSHOGDA,59.983,10.683
014920,99999,OSLO-BLINDERN,59.95,10.717
014930,99999,SARPSBORG,59.283,11.117
014940,99999,RYGGE,59.379,10.786
014950,99999,STROMTANGEN FYR,59.15,10.833
014960,99999,HOLAND-FOSSER,59.817,11.483
014965,99999,,,
014970,99999,PRESTEBAKKE,59,11.533
014980,99999,MAGNOR,59.967,12.217
014981,99999,,,
014983,99999,STATFJORD OIL RIG &,,
014990,99999,VAEROY,,
014993,99999,VAEROY,,
015000,99999,RAKKESTAD,59.383,11.383
020001,99999,LJUNGBYHED,56.083,13.213
020120,99999,RITSEM,67.733,17.467
020130,99999,RITSEM,67.733,17.467
020180,99999,SUORVA,67.533,18.233
020190,99999,KATTERJAKK A,68.417,18.167
020200,99999,KATTERJAKK,68.417,18.167
020220,99999,ABISKO,68.354,18.816
020230,99999,TORNEHAMN (AUT),68.433,18.633
020240,99999,STORA SJOFALLET,67.5,18.3
020260,99999,ALUOKTA,67.317,18.883
020290,99999,TARFALA,67.917,18.6
020310,99999,RENSJON,68.067,19.833
020320,99999,TORNETRASK LAKE,68.217,19.717
020360,99999,NIKKALUOKTA,67.85,19.033
020380,99999,LATNIVAARA,67.25,20.267
020430,99999,ESRANGE,67.933,21.067
020440,99999,KIRUNA,67.822,20.337
020450,99999,KIRUNA-SOL,67.833,20.417
020480,99999,MALMBERGET,67.167,20.667
020490,99999,GALLIVARE,67.132,20.815
020500,99999,RIKSGRANSEN,68.417,18.117
020510,99999,KARESUANDO,68.45,22.5
020520,99999,KVIKKJOKK         &,66.95,17.75
020530,99999,MALMBERGET,67.133,20.667
020540,99999,NEDRE SOPPERO,68.05,21.75
020550,99999,NAIMAKKA,68.683,21.533
020560,99999,STENSELE,65.067,17.167
020570,99999,KALLAX/LULEA (AFB),65.55,22.133
020580,99999,HAPARANDA         &,65.833,24.15
020590,99999,GADDEDE,64.5,14.133
020600,99999,NAIMAKKA,68.683,21.533
020620,99999,OSTERSUND FROSON AB,63.183,14.5
020630,99999,ASELE,64.167,17.367
020640,99999,SAITTAROVA,67.333,22.233
020650,99999,SVEG              &,62.033,14.367
020660,99999,SUNDSVALL/HARNOSAND,62.533,17.45
020670,99999,SARNA,61.683,13.133
020680,99999,DELSBO,61.8,16.567
020690,99999,SODERHAMN (SWE-AFB),61.267,17.1
020700,99999,GUSTAVSFORS       &,60.15,13.8
020710,99999,NORRKOPING-SOL,58.583,16.15
020711,99999,BORLANGE,60.417,15.517
020720,99999,PARKALOMPOLO,67.733,22.833
020730,99999,KARLSTAD          &,59.367,13.467
020740,99999,OREBRO/EKEBY,59.267,15.333
020750,99999,VASTERAS/HASSLO AFB,59.583,16.633
020760,99999,UPPSALA           &,59.883,17.6
020770,99999,STOCKHOLM/BROMMA  &,59.35,17.95
020790,99999,SATENAS (SWE-AFB),58.433,12.7
020800,99999,KARESUANDO,68.45,22.45
020810,99999,KARESUANDO,68.45,22.45
020820,99999,LANDSORT          &,58.75,17.867
020830,99999,GOTSKA SANDON     &,58.4,19.2
020840,99999,LANNAVAARA        &,68.05,22
020850,99999,RANGEDALA (AUTO),57.717,13.117
020860,99999,LAINIO,67.767,22.35
020870,99999,JONKOPING         &,57.767,14.083
020880,99999,KOMPELUSVAARA,67.083,22.217
020890,99999,OLANDS NORRA UDDE &,57.367,17.1
020900,99999,VISBY             &,57.667,18.35
020910,99999,VISBY-SOL,57.667,18.35
020920,99999,MUODOSLOMPOLO,67.95,23.467
020930,99999,VAXJO             &,56.867,14.8
020940,99999,UNGSKAR,56.033,15.8
020950,99999,PAJALA,67.2,23.383
020960,99999,PAJALA,67.217,23.4
020970,99999,MALMO /BULLTOFTON,55.6,13.067
020980,99999,MALMO/STURUP,55.55,13.367
020990,99999,YSTAD             &,55.433,13.833
021000,99999,NAIMAKKA,68.683,21.533
021010,99999,HEMAVAN,65.806,15.083
021020,99999,STEKENJOKK,65.1,14.517
021030,99999,HEMAVAN-GIEREVARTO,65.783,15.067
021040,99999,HEMAVAN,65.817,15.083
021050,99999,ABELVATTNET,65.533,14.983
021060,99999,JOKKMOKK (SWE-AFB),66.6,19.833
021080,99999,KLIMPFJALL,65.067,14.8
021090,99999,ABRAUR,65.9,19.1
021100,99999,GIELAS,65.333,15.067
021110,99999,VIDSEL (SWE-AFB),65.867,20.133
021120,99999,SYLARNA,63.05,12.267
021140,99999,NORRAKER,64.45,15.6
021150,99999,STORLIEN-VISJOVALE&,63.3,12.133
021160,99999,MORSIL,63.317,13.65
021170,99999,NORDMALING,63.567,19.5
021180,99999,DIKANAS/SKANSNAS,65.317,16.033
021190,99999,KVIKKJOKK ARRENJARKA,66.883,18.017
021200,99999,KVIKKJOKK-ARRENJARKA,66.883,18.017
021205,99999,STORUMAN,64.95,17.7
021210,99999,MIERKENIS,66.683,16.117
021220,99999,STENUDDEN,66.533,17.667
021230,99999,JAKKVIK,66.317,17.1
021240,99999,ARJEPLOG,66.05,17.833
021250,99999,OSTMARK,60.317,12.7
021260,99999,GUNNARN,65.017,17.7
021270,99999,STENSELE,65.067,17.167
021280,99999,GUNNARN,65,17.7
021290,99999,GUNNARN SOL (AUT),64.967,17.7
021300,99999,ROPARUDDEN,66.483,16.417
021310,99999,ARVIKA,59.667,12.583
021330,99999,SNAVLUNDA,58.967,14.9
021350,99999,BURESJON,65.567,17.867
021360,99999,STORBERG,65.5,18.95
021380,99999,GRUNDKALLEN,60.5,18.867
021410,99999,TJAKAAPE,66.317,19.217
021420,99999,JOKKMOKK,66.496,20.147
021430,99999,PALJAMYREN,66.217,19.133
021440,99999,ABRAUR,65.983,18.933
021450,99999,TELLEJAUR,66.15,19.633
021460,99999,VAJMAT,66.5,19.683
021470,99999,MALA-BRANNAN,65.15,18.6
021480,99999,NORRKOPING/BRAVALLA,58.617,16.117
021490,99999,ARVIDSJAUR,65.6,19.267
021500,99999,NYKOPING/SKAVST AFB,58.783,16.917
021510,99999,JOKKMOKK FPL,66.483,20.167
021520,99999,SUDOK,66.3,20.417
021540,99999,VIDSEL,65.875,20.15
021550,99999,HAGSHULT (SWE-AFB),57.3,14.133
021560,99999,STENSJON (AUT),63.967,13.717
021580,99999,FALLFORS,65.133,20.783
021590,99999,FALLFORS,65.12,20.77
021600,99999,NATTAVAARA,66.75,21.05
021610,99999,NATTAVAARA,66.75,20.933
021620,99999,MARKARYD,56.467,13.65
021630,99999,LJUNGBYHED(SWE-AFB),56.083,13.233
021640,99999,PALKEM,66.383,21.633
021660,99999,RONNEBY (SWE-AFB),56.267,15.283
021670,99999,FALSTERBO (LGT-H),55.383,12.817
021690,99999,HEDEN,65.867,21.45
021700,99999,SAVAST,65.75,21.767
021710,99999,BODEN,65.817,21.633
021720,99999,ALVSBYN,65.683,20.967
021730,99999,ALVSBYN,65.667,21.067
021740,99999,LAKATRASK,66.283,21.133
021760,99999,PITE-RONNSKAR,65.033,21.567
021810,99999,OVERKALIX SVARTBYN,66.267,22.85
021820,99999,OVERKALIX,66.267,22.833
021830,99999,LULEA-SOL,65.55,22.117
021840,99999,PAHAROVA,66.817,22.333
021850,99999,LULEA-KALLAX,65.55,22.133
021860,99999,KALLAX,65.544,22.122
021880,99999,RODKALLEN,65.317,22.383
021900,99999,KORPILOMBOLO,66.85,23.033
021910,99999,STORON,65.7,23.1
021960,99999,HAPARANDA,65.833,24.15
021970,99999,HAPARANDA,65.817,24.117
021990,99999,YLINENJARVI,66.617,23.467
022000,99999,EDEVIK,63.983,12.867
022020,99999,TORNETRASK LAKE,68.217,19.717
022040,99999,NIKKALUOKTA,67.85,19.033
022060,99999,STORLIEN-STORVALLEN,63.283,12.133
022070,99999,STORLIEN-VISJOVALEN A,63.283,12.117
022090,99999,SYLARNA,63.05,12.283
022100,99999,BLAHAMMAREN,63.183,12.167
022120,99999,,,
022150,99999,ARESKUTAN,63.433,13.083
022160,99999,MATTMAR,63.3,13.883
022170,99999,ARE,63.367,13.167
022180,99999,MORSIL,63.317,13.65
022190,99999,GADDEDE A,64.5,14.217
022210,99999,KORSVATTNET,63.833,13.5
022220,99999,GADDEDE,64.5,14.167
022230,99999,STEMSJON (AUT),63.967,13.717
022240,99999,FOLLINGE-VAGSKALET,63.767,14.433
022260,99999,OSTERSUND,63.2,14.5
